Date,Close,High,Open,Low
2023.02.23 11:00:00,1.05874,1.06065,1.0591,1.0606
2023.02.23 12:00:00,1.05873,1.06015,1.0598,1.05907
2023.02.23 13:00:00,1.0586,1.06044,1.06041,1.0598
2023.02.23 14:00:00,1.06011,1.06192,1.06139,1.06041
2023.02.23 15:00:00,1.05943,1.06211,1.06077,1.06139
2023.02.23 16:00:00,1.05951,1.06165,1.0607,1.06079
2023.02.23 17:00:00,1.05876,1.06087,1.0597,1.0607
2023.02.23 18:00:00,1.0597,1.05984,1.05792,1.05824
2023.02.23 19:00:00,1.05825,1.05858,1.05771,1.05854
2023.02.23 20:00:00,1.05854,1.05933,1.0581,1.05882
2023.02.23 21:00:00,1.05882,1.0603,1.05869,1.05957
2023.02.23 22:00:00,1.05957,1.06033,1.05954,1.06032
2023.02.23 23:00:00,1.06033,1.06033,1.05931,1.05971
2023.02.24 00:00:00,1.05926,1.0596,1.059,1.05945
2023.02.24 01:00:00,1.0595,1.06016,1.05938,1.05975
2023.02.24 02:00:00,1.05976,1.06069,1.05951,1.06069
2023.02.24 03:00:00,1.06069,1.06143,1.05936,1.06013
2023.02.24 04:00:00,1.06012,1.06063,1.05947,1.0597
2023.02.24 05:00:00,1.0597,1.06052,1.05967,1.05999
2023.02.24 06:00:00,1.05999,1.06014,1.05958,1.06001
2023.02.24 07:00:00,1.06,1.06023,1.05973,1.05975
2023.02.24 08:00:00,1.05977,1.06023,1.05966,1.05986
2023.02.24 09:00:00,1.05987,1.05987,1.05884,1.05894
2023.02.24 10:00:00,1.05893,1.0596,1.058,1.05891
2023.02.24 11:00:00,1.05889,1.05928,1.05845,1.05858
2023.02.24 12:00:00,1.05857,1.05962,1.05827,1.05866
2023.02.24 13:00:00,1.05866,1.05904,1.05735,1.05798
2023.02.24 14:00:00,1.05798,1.05798,1.05643,1.05663
2023.02.24 15:00:00,1.05663,1.05763,1.05438,1.05539
2023.02.24 16:00:00,1.05539,1.05607,1.05362,1.05476
2023.02.24 17:00:00,1.05474,1.05598,1.05402,1.05422
2023.02.24 18:00:00,1.05423,1.05597,1.05402,1.05438
2023.02.24 19:00:00,1.0544,1.05589,1.05431,1.05472
2023.02.24 20:00:00,1.05472,1.05552,1.05441,1.05453
2023.02.24 21:00:00,1.05453,1.05544,1.05441,1.05509
2023.02.24 22:00:00,1.05507,1.05557,1.05465,1.05472
2023.02.24 23:00:00,1.05471,1.05486,1.05438,1.05446
2023.02.27 00:00:00,1.05459,1.05475,1.05429,1.05449
2023.02.27 01:00:00,1.0545,1.05552,1.05441,1.05532
2023.02.27 02:00:00,1.05533,1.05556,1.05451,1.05546
2023.02.27 03:00:00,1.05546,1.05593,1.05523,1.05592
2023.02.27 04:00:00,1.05589,1.05599,1.05523,1.05533
2023.02.27 05:00:00,1.05533,1.05547,1.054,1.05442
2023.02.27 06:00:00,1.05442,1.05494,1.05434,1.05489
2023.02.27 07:00:00,1.05489,1.05506,1.05389,1.05395
2023.02.27 08:00:00,1.05395,1.0548,1.0533,1.05379
2023.02.27 09:00:00,1.05379,1.0553,1.05354,1.05479
2023.02.27 10:00:00,1.0548,1.05614,1.0548,1.05527
2023.02.27 11:00:00,1.05525,1.05588,1.05492,1.05512
2023.02.27 12:00:00,1.05512,1.0568,1.05488,1.05677
2023.02.27 13:00:00,1.05676,1.05694,1.05589,1.05622
2023.02.27 14:00:00,1.05622,1.05662,1.05556,1.05585
2023.02.27 15:00:00,1.05584,1.05834,1.05499,1.05829
2023.02.27 16:00:00,1.05829,1.05941,1.0576,1.05899
2023.02.27 17:00:00,1.05899,1.06199,1.05872,1.06011
2023.02.27 18:00:00,1.06011,1.06043,1.05796,1.05953
2023.02.27 19:00:00,1.05953,1.06021,1.05864,1.06013
2023.02.27 20:00:00,1.06013,1.06077,1.05988,1.06068
2023.02.27 21:00:00,1.06068,1.06129,1.06063,1.06076
2023.02.27 22:00:00,1.06076,1.06097,1.06045,1.06081
2023.02.27 23:00:00,1.0608,1.06101,1.06065,1.06096
2023.02.28 00:00:00,1.06084,1.0609,1.05972,1.0604
2023.02.28 01:00:00,1.06044,1.06105,1.0604,1.06096
2023.02.28 02:00:00,1.06096,1.06148,1.06059,1.06097
2023.02.28 03:00:00,1.06096,1.06103,1.05861,1.05865
2023.02.28 04:00:00,1.05867,1.05987,1.05856,1.05952
2023.02.28 05:00:00,1.05953,1.05963,1.05911,1.05925
2023.02.28 06:00:00,1.05924,1.05927,1.05871,1.05901
2023.02.28 07:00:00,1.05901,1.05908,1.05821,1.05848
2023.02.28 08:00:00,1.05847,1.05927,1.05821,1.05873
2023.02.28 09:00:00,1.05874,1.05969,1.05821,1.05935
2023.02.28 10:00:00,1.05945,1.06201,1.05945,1.06159
2023.02.28 11:00:00,1.06161,1.06254,1.06037,1.0606
2023.02.28 12:00:00,1.0606,1.06172,1.06057,1.06163
2023.02.28 13:00:00,1.06164,1.06187,1.06072,1.06092
